# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     79   1.535956e+01   2.261992e-01   1.190171e+00   -1.738417e-18   3.120461e-01
     80   1.567442e+01   2.353446e-01   1.168617e+00   -1.670139e-18   3.120461e-01
     81   1.599509e+01   2.448607e-01   1.147673e+00   -1.604531e-18   3.120461e-01
     82   1.632161e+01   2.547627e-01   1.127345e+00   -1.541487e-18   3.120461e-01
     83   1.665402e+01   2.650663e-01   1.107642e+00   -1.480905e-18   3.120461e-01
     84   1.699234e+01   2.757881e-01   1.088574e+00   -1.422688e-18   3.120461e-01
     85   1.733659e+01   2.869453e-01   1.070152e+00   -1.366744e-18   3.120461e-01
     86   1.768677e+01   2.985557e-01   1.052391e+00   -1.312981e-18   3.120461e-01
     87   1.804285e+01   3.106382e-01   1.035306e+00   -1.261315e-18   3.120461e-01
     88   1.840481e+01   3.232122e-01   1.018915e+00   -1.211661e-18   3.120461e-01
     89   1.877260e+01   3.362981e-01   1.003240e+00   -1.163940e-18   3.120461e-01
     90   1.914613e+01   3.499174e-01   9.883030e-01   -1.118076e-18   3.120461e-01
     91   1.952530e+01   3.640921e-01   9.741300e-01   -1.073994e-18   3.120461e-01
     92   1.991000e+01   3.788456e-01   9.607495e-01   -1.031624e-18   3.120461e-01
     93   2.030005e+01   3.942022e-01   9.481927e-01   -9.908987e-19   3.120461e-01
     94   2.069526e+01   4.101872e-01   9.364939e-01   -9.517518e-19   3.120461e-01
     95   2.109542e+01   4.268271e-01   9.256900e-01   -9.141209e-19   3.120461e-01
     96   2.150024e+01   4.441499e-01   9.158209e-01   -8.779459e-19   3.120461e-01
     97   2.190942e+01   4.621844e-01   9.069296e-01   -8.431690e-19   3.120461e-01
     98   2.232262e+01   4.809610e-01   8.990617e-01   -8.097348e-19   3.120461e-01
     99   2.273943e+01   5.005116e-01   8.922655e-01   -7.775903e-19   3.120461e-01
    100   2.315942e+01   5.208693e-01   8.865920e-01   -7.466844e-19   3.120461e-01
    101   2.358210e+01   5.420689e-01   8.820942e-01   -7.169686e-19   3.120461e-01
    102   2.400693e+01   5.641467e-01   8.788273e-01   -6.883961e-19   3.120461e-01
    103   2.443334e+01   5.871405e-01   8.768483e-01   -6.609222e-19   3.120461e-01
    104   2.486071e+01   6.110902e-01   8.762152e-01   -2.999170e-18   3.120461e-01
    105   2.528839e+01   6.360370e-01   8.769871e-01   -2.879097e-18   3.120461e-01
    106   2.571570e+01   6.620241e-01   8.792236e-01   -2.763640e-18   3.120461e-01
    107   2.614191e+01   6.890967e-01   8.829841e-01   -2.652621e-18   3.120461e-01
    108   2.656632e+01   7.173016e-01   8.883276e-01   -2.545874e-18   3.120461e-01
    109   2.698816e+01   7.466879e-01   8.953123e-01   -2.443239e-18   3.120461e-01
    110   2.740672e+01   7.773063e-01   9.039950e-01   -2.344561e-18   3.120461e-01
    111   2.782126e+01   8.092100e-01   9.144313e-01   -2.249696e-18   3.120461e-01
    112   2.823107e+01   8.424539e-01   9.266747e-01   -2.158504e-18   3.120461e-01
    113   2.863546e+01   8.770954e-01   9.407769e-01   -2.070850e-18   3.120461e-01
    114   2.903379e+01   9.131941e-01   9.567877e-01   -1.986606e-18   3.120461e-01
    115   2.942546e+01   9.508117e-01   9.747551e-01   -1.905649e-18   3.120461e-01
    116   2.980990e+01   9.900124e-01   9.947253e-01   -1.827862e-18   3.120461e-01
    117   3.018663e+01   1.030863e+00   1.016743e+00   -1.753129e-18   3.120461e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.811825e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   2.877607e+00   1.030088e-02   5.581859e+00   3.839018e-10   3.120460e-01
      2   2.944743e+00   1.071692e-02   5.469494e+00   7.297084e-10   3.120460e-01
      3   3.013257e+00   1.114977e-02   5.359500e+00   1.054408e-09   3.120460e-01
      4   3.083178e+00   1.160010e-02   5.251820e+00   1.360497e-09   3.120460e-01
      5   3.154533e+00   1.206863e-02   5.146399e+00   1.650204e-09   3.120460e-01
      6   3.227349e+00   1.255609e-02   5.043186e+00   1.925566e-09   3.120460e-01
      7   3.301655e+00   1.306324e-02   4.942128e+00   2.188445e-09   3.120460e-01
      8   3.377481e+00   1.359088e-02   4.843177e+00   2.440547e-09   3.120460e-01
      9   3.454856e+00   1.413984e-02   4.746283e+00   2.683436e-09   3.120460e-01
     10   3.533810e+00   1.471097e-02   4.651400e+00   2.918551e-09   3.120460e-01
     11   3.614375e+00   1.530518e-02   4.558482e+00   3.147217e-09   3.120460e-01
     12   3.696583e+00   1.592339e-02   4.467484e+00   3.370654e-09   3.120460e-01
     13   3.780464e+00   1.656658e-02   4.378363e+00   3.589992e-09   3.120460e-01
     14   3.866054e+00   1.723576e-02   4.291078e+00   3.806279e-09   3.120460e-01
     15   3.953384e+00   1.793197e-02   4.205587e+00   4.020487e-09   3.120460e-01
     16   4.042489e+00   1.865631e-02   4.121850e+00   4.233523e-09   3.120460e-01
     17   4.133405e+00   1.940990e-02   4.039829e+00   4.446235e-09   3.120460e-01
     18   4.226166e+00   2.019395e-02   3.959485e+00   4.659420e-09   3.120460e-01
     19   4.320810e+00   2.100967e-02   3.880783e+00   4.873827e-09   3.120460e-01
     20   4.417373e+00   2.185835e-02   3.803685e+00   5.090165e-09   3.120460e-01
     21   4.515894e+00   2.274131e-02   3.728158e+00   5.309109e-09   3.120460e-01
     22   4.616410e+00   2.365994e-02   3.654166e+00   5.531301e-09   3.120459e-01
     23   4.718961e+00   2.461569e-02   3.581678e+00   5.757357e-09   3.120459e-01
     24   4.823589e+00   2.561005e-02   3.510660e+00   5.987870e-09   3.120459e-01
     25   4.930332e+00   2.664458e-02   3.441081e+00   6.223414e-09   3.120459e-01
     26   5.039234e+00   2.772090e-02   3.372911e+00   6.464547e-09   3.120459e-01
     27   5.150337e+00   2.884071e-02   3.306118e+00   6.711815e-09   3.120459e-01
     28   5.263685e+00   3.000576e-02   3.240675e+00   6.965752e-09   3.120459e-01
     29   5.379321e+00   3.121788e-02   3.176552e+00   7.226886e-09   3.120459e-01
     30   5.497292e+00   3.247897e-02   3.113721e+00   7.495738e-09   3.120459e-01
     31   5.617644e+00   3.379101e-02   3.052156e+00   7.772830e-09   3.120459e-01
     32   5.740423e+00   3.515605e-02   2.991830e+00   8.058679e-09   3.120459e-01
     33   5.865677e+00   3.657624e-02   2.932717e+00   8.353807e-09   3.120459e-01
     34   5.993457e+00   3.805381e-02   2.874791e+00   8.658737e-09   3.120459e-01
     35   6.123811e+00   3.959107e-02   2.818029e+00   8.973997e-09   3.120459e-01
     36   6.256790e+00   4.119044e-02   2.762406e+00   9.300124e-09   3.120459e-01
     37   6.392447e+00   4.285443e-02   2.707898e+00   9.637660e-09   3.120459e-01
     38   6.530835e+00   4.458564e-02   2.654484e+00   9.987161e-09   3.120458e-01
     39   6.672008e+00   4.638680e-02   2.602139e+00   1.034919e-08   3.120458e-01
     40   6.816021e+00   4.826072e-02   2.550843e+00   1.072433e-08   3.120458e-01
     41   6.962929e+00   5.021035e-02   2.500574e+00   1.111317e-08   3.120458e-01
     42   7.112791e+00   5.223875e-02   2.451312e+00   1.151631e-08   3.120458e-01
     43   7.265664e+00   5.434910e-02   2.403035e+00   1.193439e-08   3.120458e-01
     44   7.421609e+00   5.654471e-02   2.355725e+00   1.236805e-08   3.120458e-01
     45   7.580686e+00   5.882903e-02   2.309363e+00   1.281795e-08   3.120458e-01
     46   7.742956e+00   6.120563e-02   2.263928e+00   1.328478e-08   3.120458e-01
     47   7.908483e+00   6.367826e-02   2.219403e+00   1.376925e-08   3.120457e-01
     48   8.077330e+00   6.625080e-02   2.175770e+00   1.427208e-08   3.120457e-01
     49   8.249563e+00   6.892726e-02   2.133012e+00   1.479403e-08   3.120457e-01
     50   8.425250e+00   7.171187e-02   2.091112e+00   1.533589e-08   3.120457e-01
     51   8.604456e+00   7.460899e-02   2.050053e+00   1.589847e-08   3.120457e-01
     52   8.787251e+00   7.762316e-02   2.009819e+00   1.648260e-08   3.120457e-01
     53   8.973706e+00   8.075912e-02   1.970394e+00   1.708917e-08   3.120457e-01
     54   9.163892e+00   8.402179e-02   1.931764e+00   1.771906e-08   3.120456e-01
     55   9.357881e+00   8.741629e-02   1.893913e+00   1.837322e-08   3.120456e-01
     56   9.555747e+00   9.094795e-02   1.856829e+00   1.905261e-08   3.120456e-01
     57   9.757564e+00   9.462232e-02   1.820495e+00   1.975824e-08   3.120456e-01
     58   9.963409e+00   9.844517e-02   1.784901e+00   2.049115e-08   3.120456e-01
     59   1.017336e+01   1.024225e-01   1.750031e+00   2.125241e-08   3.120456e-01
     60   1.038749e+01   1.065606e-01   1.715875e+00   2.204310e-08   3.120455e-01
     61   1.060589e+01   1.108658e-01   1.682421e+00   2.286436e-08   3.120455e-01
     62   1.082863e+01   1.153451e-01   1.649657e+00   2.371735e-08   3.120455e-01
     63   1.105579e+01   1.200054e-01   1.617571e+00   2.460325e-08   3.120455e-01
     64   1.128746e+01   1.248541e-01   1.586155e+00   2.552330e-08   3.120454e-01
     65   1.152372e+01   1.298988e-01   1.555398e+00   2.647871e-08   3.120454e-01
     66   1.176465e+01   1.351474e-01   1.525292e+00   2.747070e-08   3.120454e-01
     67   1.201033e+01   1.406081e-01   1.495826e+00   2.850067e-08   3.120454e-01
     68   1.226085e+01   1.462897e-01   1.466995e+00   2.956992e-08   3.120453e-01
     69   1.251630e+01   1.522009e-01   1.438790e+00   3.067981e-08   3.120453e-01
     70   1.277676e+01   1.583512e-01   1.411205e+00   3.183164e-08   3.120453e-01
     71   1.304230e+01   1.647502e-01   1.384234e+00   3.302685e-08   3.120452e-01
     72   1.331303e+01   1.714080e-01   1.357872e+00   3.426700e-08   3.120452e-01
     73   1.358900e+01   1.783352e-01   1.332116e+00   3.555342e-08   3.120452e-01
     74   1.387031e+01   1.855426e-01   1.306961e+00   3.688746e-08   3.120451e-01
     75   1.415704e+01   1.930416e-01   1.282405e+00   3.827026e-08   3.120451e-01
     76   1.444926e+01   2.008442e-01   1.258448e+00   3.970319e-08   3.120451e-01
     77   1.474704e+01   2.089627e-01   1.235089e+00   4.118745e-08   3.120450e-01
     78   1.505045e+01   2.174098e-01   1.212329e+00   4.272418e-08   3.120450e-01
     79   1.535956e+01   2.261992e-01   1.190171e+00   4.431432e-08   3.120450e-01
     80   1.567442e+01   2.353446e-01   1.168617e+00   4.595897e-08   3.120449e-01
     81   1.599509e+01   2.448607e-01   1.147673e+00   4.765898e-08   3.120449e-01
     82   1.632161e+01   2.547627e-01   1.127345e+00   4.941484e-08   3.120448e-01
     83   1.665402e+01   2.650663e-01   1.107642e+00   5.122687e-08   3.120448e-01
     84   1.699234e+01   2.757881e-01   1.088574e+00   5.309527e-08   3.120447e-01
     85   1.733659e+01   2.869453e-01   1.070152e+00   5.501972e-08   3.120447e-01
     86   1.768677e+01   2.985557e-01   1.052391e+00   5.699956e-08   3.120446e-01
     87   1.804285e+01   3.106382e-01   1.035306e+00   5.903403e-08   3.120446e-01
     88   1.840481e+01   3.232122e-01   1.018915e+00   6.112193e-08   3.120445e-01
     89   1.877260e+01   3.362981e-01   1.003240e+00   6.326114e-08   3.120444e-01
     90   1.914613e+01   3.499174e-01   9.883030e-01   6.544923e-08   3.120444e-01
     91   1.952530e+01   3.640921e-01   9.741300e-01   6.768282e-08   3.120443e-01
     92   1.991000e+01   3.788456e-01   9.607495e-01   6.995793e-08   3.120443e-01
     93   2.030005e+01   3.942022e-01   9.481927e-01   7.226960e-08   3.120442e-01
     94   2.069526e+01   4.101872e-01   9.364939e-01   7.461202e-08   3.120441e-01
     95   2.109542e+01   4.268271e-01   9.256900e-01   7.697820e-08   3.120441e-01
     96   2.150024e+01   4.441499e-01   9.158209e-01   7.935991e-08   3.120440e-01
     97   2.190942e+01   4.621844e-01   9.069296e-01   8.174774e-08   3.120439e-01
     98   2.232262e+01   4.809610e-01   8.990617e-01   8.413085e-08   3.120439e-01
     99   2.273943e+01   5.005116e-01   8.922655e-01   8.649734e-08   3.120438e-01
    100   2.315942e+01   5.208693e-01   8.865920e-01   8.883454e-08   3.120437e-01
    101   2.358210e+01   5.420689e-01   8.820942e-01   9.112858e-08   3.120436e-01
    102   2.400693e+01   5.641467e-01   8.788273e-01   9.336469e-08   3.120436e-01
    103   2.443334e+01   5.871405e-01   8.768483e-01   9.552703e-08   3.120435e-01
    104   2.486071e+01   6.110902e-01   8.762152e-01   9.759814e-08   3.120434e-01
    105   2.528839e+01   6.360370e-01   8.769871e-01   9.956069e-08   3.120433e-01
    106   2.571570e+01   6.620241e-01   8.792236e-01   1.013968e-07   3.120433e-01
    107   2.614191e+01   6.890967e-01   8.829841e-01   1.030892e-07   3.120432e-01
    108   2.656632e+01   7.173016e-01   8.883276e-01   1.046204e-07   3.120431e-01
    109   2.698816e+01   7.466879e-01   8.953123e-01   1.059740e-07   3.120431e-01
    110   2.740672e+01   7.773063e-01   9.039950e-01   1.071349e-07   3.120430e-01
    111   2.782126e+01   8.092100e-01   9.144313e-01   1.080894e-07   3.120430e-01
    112   2.823107e+01   8.424539e-01   9.266747e-01   1.088262e-07   3.120429e-01
    113   2.863546e+01   8.770954e-01   9.407769e-01   1.093355e-07   3.120429e-01
    114   2.903379e+01   9.131941e-01   9.567877e-01   1.096095e-07   3.120428e-01
    115   2.942546e+01   9.508117e-01   9.747551e-01   1.096449e-07   3.120428e-01
    116   2.980990e+01   9.900124e-01   9.947253e-01   1.094408e-07   3.120428e-01
    117   3.018663e+01   1.030863e+00   1.016743e+00   1.089994e-07   3.120428e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.811825e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   2.877607e+00   1.030088e-02   5.581859e+00   3.839018e-10   3.120460e-01
      2   2.944743e+00   1.071692e-02   5.469494e+00   7.297084e-10   3.120460e-01
      3   3.013257e+00   1.114977e-02   5.359500e+00   1.054408e-09   3.120460e-01
      4   3.083178e+00   1.160010e-02   5.251820e+00   1.360497e-09   3.120460e-01
      5   3.154533e+00   1.206863e-02   5.146399e+00   1.650204e-09   3.120460e-01
      6   3.227349e+00   1.255609e-02   5.043186e+00   1.925566e-09   3.120460e-01
      7   3.301655e+00   1.306324e-02   4.942128e+00   2.188445e-09   3.120460e-01
      8   3.377481e+00   1.359088e-02   4.843177e+00   2.440547e-09   3.120460e-01
      9   3.454856e+00   1.413984e-02   4.746283e+00   2.683436e-09   3.120460e-01
     10   3.533810e+00   1.471097e-02   4.651400e+00   2.918551e-09   3.120460e-01
     11   3.614375e+00   1.530518e-02   4.558482e+00   3.147217e-09   3.120460e-01
     12   3.696583e+00   1.592339e-02   4.467484e+00   3.370654e-09   3.120460e-01
     13   3.780464e+00   1.656658e-02   4.378363e+00   3.589992e-09   3.120460e-01
     14   3.866054e+00   1.723576e-02   4.291078e+00   3.806279e-09   3.120460e-01
     15   3.953384e+00   1.793197e-02   4.205587e+00   4.020487e-09   3.120460e-01
     16   4.042489e+00   1.865631e-02   4.121850e+00   4.233523e-09   3.120460e-01
     17   4.133405e+00   1.940990e-02   4.039829e+00   4.446235e-09   3.120460e-01
     18   4.226166e+00   2.019395e-02   3.959485e+00   4.659420e-09   3.120460e-01
     19   4.320810e+00   2.100967e-02   3.880783e+00   4.873827e-09   3.120460e-01
     20   4.417373e+00   2.185835e-02   3.803685e+00   5.090165e-09   3.120460e-01
     21   4.515894e+00   2.274131e-02   3.728158e+00   5.309109e-09   3.120460e-01
     22   4.616410e+00   2.365994e-02   3.654166e+00   5.531301e-09   3.120459e-01
     23   4.718961e+00   2.461569e-02   3.581678e+00   5.757357e-09   3.120459e-01
     24   4.823589e+00   2.561005e-02   3.510660e+00   5.987870e-09   3.120459e-01
     25   4.930332e+00   2.664458e-02   3.441081e+00   6.223414e-09   3.120459e-01
     26   5.039234e+00   2.772090e-02   3.372911e+00   6.464547e-09   3.120459e-01
     27   5.150337e+00   2.884071e-02   3.306118e+00   6.711815e-09   3.120459e-01
     28   5.263685e+00   3.000576e-02   3.240675e+00   6.965752e-09   3.120459e-01
     29   5.379321e+00   3.121788e-02   3.176552e+00   7.226886e-09   3.120459e-01
     30   5.497292e+00   3.247897e-02   3.113721e+00   7.495738e-09   3.120459e-01
     31   5.617644e+00   3.379101e-02   3.052156e+00   7.772830e-09   3.120459e-01
     32   5.740423e+00   3.515605e-02   2.991830e+00   8.058679e-09   3.120459e-01
     33   5.865677e+00   3.657624e-02   2.932717e+00   8.353807e-09   3.120459e-01
     34   5.993457e+00   3.805381e-02   2.874791e+00   8.658737e-09   3.120459e-01
     35   6.123811e+00   3.959107e-02   2.818029e+00   8.973997e-09   3.120459e-01
     36   6.256790e+00   4.119044e-02   2.762406e+00   9.300124e-09   3.120459e-01
     37   6.392447e+00   4.285443e-02   2.707898e+00   9.637660e-09   3.120459e-01
     38   6.530835e+00   4.458564e-02   2.654484e+00   9.987161e-09   3.120458e-01
     39   6.672008e+00   4.638680e-02   2.602139e+00   1.034919e-08   3.120458e-01
     40   6.816021e+00   4.826072e-02   2.550843e+00   1.072433e-08   3.120458e-01
     41   6.962929e+00   5.021035e-02   2.500574e+00   1.111317e-08   3.120458e-01
     42   7.112791e+00   5.223875e-02   2.451312e+00   1.151631e-08   3.120458e-01
     43   7.265664e+00   5.434910e-02   2.403035e+00   1.193439e-08   3.120458e-01
     44   7.421609e+00   5.654471e-02   2.355725e+00   1.236805e-08   3.120458e-01
     45   7.580686e+00   5.882903e-02   2.309363e+00   1.281795e-08   3.120458e-01
     46   7.742956e+00   6.120563e-02   2.263928e+00   1.328478e-08   3.120458e-01
     47   7.908483e+00   6.367826e-02   2.219403e+00   1.376925e-08   3.120457e-01
     48   8.077330e+00   6.625080e-02   2.175770e+00   1.427208e-08   3.120457e-01
     49   8.249563e+00   6.892726e-02   2.133012e+00   1.479403e-08   3.120457e-01
     50   8.425250e+00   7.171187e-02   2.091112e+00   1.533589e-08   3.120457e-01
     51   8.604456e+00   7.460899e-02   2.050053e+00   1.589847e-08   3.120457e-01
     52   8.787251e+00   7.762316e-02   2.009819e+00   1.648260e-08   3.120457e-01
     53   8.973706e+00   8.075912e-02   1.970394e+00   1.708917e-08   3.120457e-01
     54   9.163892e+00   8.402179e-02   1.931764e+00   1.771906e-08   3.120456e-01
     55   9.357881e+00   8.741629e-02   1.893913e+00   1.837322e-08   3.120456e-01
     56   9.555747e+00   9.094795e-02   1.856829e+00   1.905261e-08   3.120456e-01
     57   9.757564e+00   9.462232e-02   1.820495e+00   1.975824e-08   3.120456e-01
     58   9.963409e+00   9.844517e-02   1.784901e+00   2.049115e-08   3.120456e-01
     59   1.017336e+01   1.024225e-01   1.750031e+00   2.125241e-08   3.120456e-01
     60   1.038749e+01   1.065606e-01   1.715875e+00   2.204310e-08   3.120455e-01
     61   1.060589e+01   1.108658e-01   1.682421e+00   2.286436e-08   3.120455e-01
